file,date,R,C,man
1.41-6,11 Jun 2017,38781,24458,16024
1.40-8,31 Oct 2016,38752,24447,16024
1.39-5,4 Mar 2016,38739,24438,16026
1.38-4,3 Dec 2015,38552,24438,15979
1.37-11,24 Aug 2015,38969,24438,15991
1.36-6,5 Mar 2015,38948,24438,15991
1.35-3,15 Dec 2014,38562,24438,15875
1.34-17,30 Oct 2014,38562,24441,15875
1.33-7,12 Aug 2014,36322,23863,15524
1.32-11,28 May 2014,35684,24275,15609
1.31-9,19 Mar 2014,35302,23981,15492
1.30-4,10 Feb 2014,35197,23976,15412
1.29-2,9 Dec 2013,35145,23976,15399
1.28-19,23 Sep 2013,35144,23976,15397
1.27-10,11 Apr 2013,34934,24301,15183
1.26-14,27 Nov 2012,34345,22255,15160
1.25-15,13 Aug 2012,34264,22244,15150
1.24-9,25 May 2012,33959,22036,15114
1.23-16,6 Mar 2012,33950,22036,15102
1.22-21,28 Nov 2011,33497,21636,14876
1.21-2,18 Mar 2011,33189,21525,14982
1.20-15,15 Feb 2011,33179,21499,14978
1.19-20,29 Nov 2010,32956,21491,14919
1.18-7,18 Aug 2010,32346,21449,14475
1.17-39,28 Jul 2010,32274,21453,14391
1.16-6,23 May 2010,30616,19383,13357
1.15-15,2 May 2010,30537,19290,13301
1.14-2,30 Sep 2009,27790,15896,11040
1.13-7,10 Sep 2009,27791,15896,11040
1.12-26,30 Jun 2009,27510,15896,10943
1.11-12,29 Mar 2009,26343,14607,10485
1.10-27,11 Jan 2009,25489,14222,10474
1.09-43,18 Jul 2008,24343,14222,9582
1.08-56,8 Apr 2008,22691,14222,9003
1.07-12,9 Oct 2007,19295,13181,7632
1.06-43,7 Aug 2007,18659,12982,7512
1.05-2,8 Nov 2006,17650,12099,6979
1.04-53,28 Oct 2006,17647,12102,6979
1.03-14,20 Jul 2006,14807,10926,5621
1.02-26,2 Jun 2006,14284,10729,5502
1.01-9,25 Oct 2005,13709,9593,5435
1.00-18,10 Sep 2005,13366,9489,5381
0.99-24,26 Apr 2005,13076,9465,5324
0.98-57,10 Sep 2004,11942,7532,5030
0.97-22,30 Dec 2003,10132,7528,4684
0.96-5,30 Sep 2002,9260,7382,4391
0.92-3,12 Feb 2002,6277,6667,3445
0.85-4,29 Oct 2001,4833,3180,2782
